Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,JoJo Romero (13056761),JoJo Romero,13056761,P,7900,SF@PHI 08/01/2019 01:05PM ET,PHI,0
SP,Reynaldo Lopez (13056765),Reynaldo Lopez,13056765,P,7700,NYM@CWS 08/01/2019 02:10PM ET,CWS,12.32
SP,Anthony Kay (13056766),Anthony Kay,13056766,P,7700,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
SP,Kyle Gibson (13056762),Kyle Gibson,13056762,P,7700,MIN@MIA 08/01/2019 12:10PM ET,MIN,15.42
SP,Jimmy Nelson (13056763),Jimmy Nelson,13056763,P,7700,MIL@OAK 08/01/2019 03:37PM ET,MIL,3.92
SP,Trey Supak (13056764),Trey Supak,13056764,P,7700,MIL@OAK 08/01/2019 03:37PM ET,MIL,0
SP,Stephen Gonsalves (13056767),Stephen Gonsalves,13056767,P,7600,MIN@MIA 08/01/2019 12:10PM ET,MIN,0
SP,Adonis Medina (13056768),Adonis Medina,13056768,P,7600,SF@PHI 08/01/2019 01:05PM ET,PHI,0
SP,Vince Velasquez (13056769),Vince Velasquez,13056769,P,7500,SF@PHI 08/01/2019 01:05PM ET,PHI,9.25
SP,Chase Anderson (13056402),Chase Anderson,13056402,P,7500,MIL@OAK 08/01/2019 03:37PM ET,MIL,11.63
SP,Pablo Lopez (13056770),Pablo Lopez,13056770,P,7400,MIN@MIA 08/01/2019 12:10PM ET,MIA,14.13
SP,Nick Neidert (13056771),Nick Neidert,13056771,P,7400,MIN@MIA 08/01/2019 12:10PM ET,MIA,0
SP,Daniel Gossett (13056772),Daniel Gossett,13056772,P,7400,MIL@OAK 08/01/2019 03:37PM ET,OAK,0
SP,Corey Oswalt (13056774),Corey Oswalt,13056774,P,7300,NYM@CWS 08/01/2019 02:10PM ET,NYM,-1
SP,Franklyn Kilome (13056775),Franklyn Kilome,13056775,P,7300,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
SP,Kodi Medeiros (13056776),Kodi Medeiros,13056776,P,7300,NYM@CWS 08/01/2019 02:10PM ET,CWS,0
SP,Robert Dugger (13056777),Robert Dugger,13056777,P,7300,MIN@MIA 08/01/2019 12:10PM ET,MIA,0
SP,Andrew Suarez (13056773),Andrew Suarez,13056773,P,7300,SF@PHI 08/01/2019 01:05PM ET,SF,1.28
RP,Sam Coonrod (13056778),Sam Coonrod,13056778,P,7300,SF@PHI 08/01/2019 01:05PM ET,SF,3.72
SP,Wei-Yin Chen (13056779),Wei-Yin Chen,13056779,P,7200,MIN@MIA 08/01/2019 12:10PM ET,MIA,2.08
RP,Drew Gagnon (13056784),Drew Gagnon,13056784,P,7100,NYM@CWS 08/01/2019 02:10PM ET,NYM,2.27
SP,Ranger Suarez (13056781),Ranger Suarez,13056781,P,7100,SF@PHI 08/01/2019 01:05PM ET,PHI,5.40
SP,Tyler Beede (13056782),Tyler Beede,13056782,P,7100,SF@PHI 08/01/2019 01:05PM ET,SF,10.46
SP,Jerad Eickhoff (13056783),Jerad Eickhoff,13056783,P,7100,SF@PHI 08/01/2019 01:05PM ET,PHI,10.37
SP,Jake Faria (13056780),Jake Faria,13056780,P,7100,MIL@OAK 08/01/2019 03:37PM ET,MIL,4.04
RP,Burch Smith (13056785),Burch Smith,13056785,P,7100,MIL@OAK 08/01/2019 03:37PM ET,MIL,2.61
SP,Michael Kopech (13056786),Michael Kopech,13056786,P,7000,NYM@CWS 08/01/2019 02:10PM ET,CWS,0
SP,Enyel De Los Santos (13056788),Enyel De Los Santos,13056788,P,7000,SF@PHI 08/01/2019 01:05PM ET,PHI,2.79
SP,Logan Webb (13056790),Logan Webb,13056790,P,7000,SF@PHI 08/01/2019 01:05PM ET,SF,0
SP,Gio Gonzalez (13056787),Gio Gonzalez,13056787,P,7000,MIL@OAK 08/01/2019 03:37PM ET,MIL,14.02
SP,Zack Brown (13056789),Zack Brown,13056789,P,7000,MIL@OAK 08/01/2019 03:37PM ET,MIL,0
SP,Steven Matz (13056793),Steven Matz,13056793,P,6900,NYM@CWS 08/01/2019 02:10PM ET,NYM,10.78
SP,Devin Smeltzer (13056791),Devin Smeltzer,13056791,P,6900,MIN@MIA 08/01/2019 12:10PM ET,MIN,13.89
SP,Fernando Romero (13056792),Fernando Romero,13056792,P,6900,MIN@MIA 08/01/2019 12:10PM ET,MIN,1.15
RP,Adam Conley (13056794),Adam Conley,13056794,P,6900,MIN@MIA 08/01/2019 12:10PM ET,MIA,1.49
SP,Adrian Houser (13056795),Adrian Houser,13056795,P,6800,MIL@OAK 08/01/2019 03:37PM ET,MIL,6.98
SP,Corbin Burnes (13056796),Corbin Burnes,13056796,P,6800,MIL@OAK 08/01/2019 03:37PM ET,MIL,3.26
SP,James Shields (13056799),James Shields,13056799,P,6700,NYM@CWS 08/01/2019 02:10PM ET,CWS,0
SP,Jake Arrieta (13056403),Jake Arrieta,13056403,P,6700,SF@PHI 08/01/2019 01:05PM ET,PHI,12.57
SP,Jason Vargas (13056797),Jason Vargas,13056797,P,6700,SF@PHI 08/01/2019 01:05PM ET,PHI,12.98
SP,Homer Bailey (13056798),Homer Bailey,13056798,P,6700,MIL@OAK 08/01/2019 03:37PM ET,OAK,11.71
SP,Jordan Holloway (13056800),Jordan Holloway,13056800,P,6600,MIN@MIA 08/01/2019 12:10PM ET,MIA,0
SP,Zack Littell (13056801),Zack Littell,13056801,P,6500,MIN@MIA 08/01/2019 12:10PM ET,MIN,3.40
SP,Miguel Gonzalez (13056803),Miguel Gonzalez,13056803,P,6400,NYM@CWS 08/01/2019 02:10PM ET,CWS,0
SP,Drew Pomeranz (13056802),Drew Pomeranz,13056802,P,6400,MIL@OAK 08/01/2019 03:37PM ET,MIL,9.11
SP,P.J. Conlon (13056805),P.J. Conlon,13056805,P,6200,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
SP,Ty Blach (13056804),Ty Blach,13056804,P,6200,SF@PHI 08/01/2019 01:05PM ET,SF,-5.28
SP,Ervin Santana (13056806),Ervin Santana,13056806,P,6100,NYM@CWS 08/01/2019 02:10PM ET,NYM,-1
SP,Marco Estrada (13056807),Marco Estrada,13056807,P,6100,MIL@OAK 08/01/2019 03:37PM ET,OAK,3.77
SP,Jordan Lyles (13056808),Jordan Lyles,13056808,P,6100,MIL@OAK 08/01/2019 03:37PM ET,MIL,12.91
SP,David Peterson (13056810),David Peterson,13056810,P,6000,NYM@CWS 08/01/2019 02:10PM ET,NYM,0
SP,Manny Banuelos (13056812),Manny Banuelos,13056812,P,6000,NYM@CWS 08/01/2019 02:10PM ET,CWS,5.98
SP,Jorge Guzman (13056811),Jorge Guzman,13056811,P,6000,MIN@MIA 08/01/2019 12:10PM ET,MIA,0
SP,Elieser Hernandez (13056815),Elieser Hernandez,13056815,P,6000,MIN@MIA 08/01/2019 12:10PM ET,MIA,8.25
SP,Garrett Williams (13056809),Garrett Williams,13056809,P,6000,SF@PHI 08/01/2019 01:05PM ET,SF,0
SP,Drew Smyly (13056813),Drew Smyly,13056813,P,6000,SF@PHI 08/01/2019 01:05PM ET,PHI,7.92
SP,Jhoulys Chacin (13056814),Jhoulys Chacin,13056814,P,6000,MIL@OAK 08/01/2019 03:37PM ET,MIL,9.04
RP,Ray Black (13056816),Ray Black,13056816,P,6000,MIL@OAK 08/01/2019 03:37PM ET,MIL,4.75
SP,Bernardo Flores (13056819),Bernardo Flores,13056819,P,5900,NYM@CWS 08/01/2019 02:10PM ET,CWS,0
SP,Ross Detwiler (13056820),Ross Detwiler,13056820,P,5900,NYM@CWS 08/01/2019 02:10PM ET,CWS,3.37
RP,Justin Wilson (13056821),Justin Wilson,13056821,P,5900,NYM@CWS 08/01/2019 02:10PM ET,NYM,2.44
SP,Marcos Diplan (13056817),Marcos Diplan,13056817,P,5900,MIL@OAK 08/01/2019 03:37PM ET,MIL,0
